Name,Volume,Sales,Floor,Floor Change,Owners / Supply,Owners Change,% Listed,List Change %
BFF,0.99Ξ,8,0.12Ξ,40.60%,83%,0,0.80%,-0.09%
The Saudis,0.92Ξ,5,0.18Ξ,-7.46%,34%,1,2.30%,0.07%
Super Cool World,0.86Ξ,3,0.32Ξ,17.54%,26%,-3,4.10%,-0.14%
CoolmansUniverse,0.82Ξ,8,0.08Ξ,-7.45%,52%,2,4.20%,0.04%
Adam Bomb Squad,0.79Ξ,4,0.19Ξ,-0.03%,33%,2,3.50%,-0.03%
Ether Orcs Genesis,0.78Ξ,3,0.25Ξ,-6.88%,5%*,-3*,2%,-0.06%
Tableland Rigs,0.75Ξ,3,0.29Ξ,-0.04%,42%,1,4.60%,-0.03%
STOICS,0.74Ξ,2,0.15Ξ,-0.07%,28%,0,7.10%,-0.18%
Edenhorde,0.7Ξ,2,0.12Ξ,0%,25%,0,1.40%,0.00%
This is Nouns,0.7Ξ,29,0.02Ξ,35.29%,48%,-10,6.60%,-0.85%
HOPE,0.69Ξ,3,0.22Ξ,2.27%,35%,-2,4.10%,0.02%
ALPACADABRAZ,0.66Ξ,4,0.18Ξ,9.46%,45%,2,2.60%,-0.04%
ZombieClub Token,0.65Ξ,2,0.29Ξ,-1.01%,47%,1,2.60%,0.03%
Cheers UP Period,0.65Ξ,1,0.94Ξ,0%,21%,0,1.70%,0.09%
EightBit,0.64Ξ,6,0.11Ξ,0%,32%,-3,4.10%,-0.05%
Capsule,0.64Ξ,5,0.15Ξ,6.51%,37%,0,5.30%,-0.18%
FVCK_AVATAR//,0.64Ξ,6,0.09Ξ,-19.79%,24%,-4,1.60%,0.07%
DeadFrenz,0.64Ξ,10,0.06Ξ,0.43%,58%,-1,3.60%,-0.19%
Looki,0.63Ξ,1,0.7Ξ,0%,11%,1,1%,0.00%
Regulars,0.62Ξ,5,0.06Ξ,-7.16%,24%,-2,1.60%,-0.09%
Meta-Legends,0.61Ξ,7,0.07Ξ,-0.19%,36%,-1,2.30%,-0.10%
Gutter Birds,0.52Ξ,2,0.26Ξ,-1.46%,64%,0,4.80%,0.07%
Catharsis by Dario...,0.52Ξ,1,0.65Ξ,-2.99%,50%,0,9.40%,0.00%
Sneaky Vampire Syn...,0.5Ξ,6,0.07Ξ,-17.60%,30%*,+4*,2.10%,-0.01%
SneakerHeads,0.48Ξ,5,0.11Ξ,17.04%,51%,-6,4.20%,0.04%
LinksDAO,0.48Ξ,2,0.27Ξ,4.24%,58%,-1,1%,-0.03%
The Doge Pound,0.45Ξ,2,0.22Ξ,-5.97%,54%,-1,2.10%,0.06%
CryptoSimeji,0.44Ξ,9,0.05Ξ,0.02%,33%,-1,5.80%,-0.05%
PROOF Collective G...,0.43Ξ,1,0.37Ξ,0%,51%,0,0%,-5.92%
CPG Pop,0.42Ξ,1,0.51Ξ,-11.65%,72%,0,3.50%,0.25%
Webaverse Genesis ...,0.38Ξ,2,0.22Ξ,-11.97%,15%,0,0.50%,0.04%
Isekai Meta,0.38Ξ,5,0.07Ξ,0%,34%,-1,7.40%,-0.17%
Neo Tokyo: Outer I...,0.38Ξ,1,0.45Ξ,0%,14%,-1,0.90%,0.00%
Illuminati,0.37Ξ,1,0.35Ξ,-5.11%,45%,-1,2.30%,-0.01%
GRAYCRAFT2,0.37Ξ,10,0.03Ξ,-20.09%,27%,3,3.80%,0.08%
Cel Mates Crime Re...,0.37Ξ,1,0.29Ξ,-0.17%,12%,-2,1.40%,-0.02%
SlimHoods,0.35Ξ,4,0.08Ξ,-3.89%,50%,2,2.40%,0.00%
FVCK_CRYSTAL//,0.35Ξ,1,0.34Ξ,7.81%,27%,-2,1.40%,0.00%
Smilesss,0.34Ξ,4,0.1Ξ,-4.17%,48%,-1,2.80%,0.14%
Gray Boys,0.31Ξ,3,0.1Ξ,0%,34%,3,1.60%,-0.01%
Degenz,0.31Ξ,6,0.06Ξ,-6.68%,18%,1,1%,-0.01%
Timeless,0.3Ξ,1,0.37Ξ,-6.33%,30%,0,3.10%,0.02%
Anonymice,0.29Ξ,1,0.28Ξ,-1.69%,29%*,+4*,2.70%,-0.14%
IconicNFT,0.28Ξ,1,0.29Ξ,1.69%,64%,0,3.30%,0.08%
Beep Boop Botz,0.28Ξ,7,0.03Ξ,1.86%,5%,0,2.20%,-0.01%
Anthony Hopkins - ...,0.23Ξ,1,0.31Ξ,-7.16%,53%,-1,14%,-0.10%
MutantCats,0.23Ξ,2,0.14Ξ,-0.69%,17%*,-1*,2.30%,0.13%
Knights of Degen,0.23Ξ,1,0.3Ξ,0%,30%,0,2.50%,-0.02%
Fragments By James...,0.2Ξ,1,0.23Ξ,-0.38%,37%,0,2.80%,0.01%
FlipsFinance,0.19Ξ,1,0.23Ξ,19.48%,63%,0,4.30%,-0.36%
Crypto Coven,0.18Ξ,1,0.14Ξ,0%,50%,0,2.60%,0.02%
Robotos,0.16Ξ,2,0.1Ξ,-7.97%,55%,0,2.80%,0.04%
PartyDegenerates,0.15Ξ,3,0.05Ξ,16.46%,35%,-2,2.90%,-0.02%
LOST POETS,0.15Ξ,1,0.05Ξ,36.87%,28%,1,1.80%,-0.01%
BYOPills,0.14Ξ,1,0.14Ξ,1.42%,30%,2,1.70%,-0.04%
ShinseiGalverse,0.14Ξ,2,0.06Ξ,-9.11%,44%,-1,4.40%,-0.02%
Chain Runners,0.11Ξ,2,0.07Ξ,7.19%,33%,2,2.90%,0.00%
DGFamily,0.1Ξ,1,0.15Ξ,3.33%,43%,-1,2%,-0.03%
Adolescent,0.09Ξ,2,0.05Ξ,-21.88%,68%,0,21.60%,-3.20%
Streetlab Genesis,0.08Ξ,1,0.08Ξ,-3.26%,20%,0,1.90%,0.00%
GalaxyEggs,0.08Ξ,1,0.1Ξ,-4.39%,43%,0,3.60%,0.13%
hausphases,0.07Ξ,1,0.07Ξ,-4.94%,36%,0,1.80%,0.01%
WVRPS by Warpsound,0.07Ξ,1,0.08Ξ,-9.74%,46%,42,2.30%,-0.01%
Spooky Season,0.04Ξ,2,0.02Ξ,0.47%,72%,0,6.30%,0.11%
Regenz,0.02Ξ,1,0.03Ξ,0%,53%,0,5.50%,0.08%
CyberKongz,0Ξ,0,19.5Ξ,-2.51%,45%,0,2.50%,-0.20%
Treeverse,0Ξ,0,0.68Ξ,-2.12%,32%,-1,1.20%,-0.08%
GalaxyFightClub,0Ξ,0,0.07Ξ,0%,30%,-1,2.70%,0.11%
NFTrees,0Ξ,0,12.77Ξ,-1.71%,58%,-1,6.80%,0.24%
Purrnelopes Countr...,0Ξ,0,0.08Ξ,0%,35%,-1,1.20%,0.03%
PROOF Collective,0Ξ,0,33Ξ,0.30%,94%,0,3.10%,0.00%
MOAR by Joan Corne...,0Ξ,0,0.38Ξ,0%,53%,0,2.40%,-0.09%
RTFKT - MNLTH,0Ξ,0,0.56Ξ,-3.56%,13%,-1,100%,0.00%
Autoglyphs,0Ξ,0,345Ξ,0%,29%,0,0.90%,0.00%
Fidenza by Tyler H...,0Ξ,0,87Ξ,0%,45%,0,5.10%,0.00%
Ringers by Dmitri ...,0Ξ,0,54Ξ,0%,28%,0,3.70%,0.00%
ForgottenRunesWiza...,0Ξ,0,1.18Ξ,0%,32%,-1,2.90%,-0.06%
Nouns,0Ξ,0,34.87Ξ,0%,58%,0,2.70%,0.00%
McLarenMSOLABGenes...,0Ξ,0,0.13Ξ,0%,63%,0,2.90%,0.25%
